Name,Nationality,Team,Position,Age,Games,Games_starts,Minutes,Goals,Assists,Cards_yellow,Cards_red,Xg,Xg_assist,Progressive_carries,Progressive_passes,Progressive_passes_received,Goals_per90,Assists_per90,Xg_per90,Xg_assist_per90,Gk_goals_against_per90,Gk_save_pct,Gk_clean_sheet_pct,Gk_pens_save_pct,Shots_on_target_pct,Shots_per90,Goals_per_shot,Average_shot_distance,Passes_completed,Passes_pct,Passes_total_distance,Passes_pct_short,Passes_pct_medium,Passes_pct_long,Assisted_shots,Passes_into_final_third,Passes_into_penalty_area,Crosses_into_penalty_area,Progressive_passes,Sca,Sca_per90,Gca,Gca_per90,Tackles,Tackles_won,Challenge_tackles,Challenges_lost,Blocks,Blocked_shots,Blocked_passes,Interceptions,Touches,Touches_def_pen_area,Touches_def_3rd,Touches_mid_3rd,Touches_att_3rd,Touches_att_pen_area,Take_ons,Take_ons_won_pct,Take_ons_tackled_pct,Carries,Carries_progressive_distance,Progressive_carries,Carries_into_final_third,Carries_into_penalty_area,Miscontrols,Dispossessed,Passes_received,Progressive_passes_received,Fouls,Fouled,Offsides,Crosses,Ball_recoveries,Aerials_won,Aerials_lost,Aerials_won_pct
Sepp van den Berg,NL,Brentford,DF,23-136,28,26,2316,0,0,2,0,1.7,0.5,10,72,27,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,31.3,0.62,0.0,10.6,958,84.7,16548,87.7,89.1,62.5,5,57,3,1,72,21,0.82,2,0.08,37,22,18,9,50,36,14,20,1430,252,728,547,159,42,7,57.1,42.9,636,1663,10,9,1,14,7,806,27,20,5,1,7,87,84,66,56.0
Sander Berge,NO,Fulham,MF,27-080,28,24,2091,0,0,5,0,0.2,0.6,27,116,8,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,0.0,0.09,0.0,7.6,1017,91.4,18059,91.7,94.6,83.5,17,105,4,0,116,41,1.76,2,0.09,48,28,25,12,26,8,18,20,1291,76,354,737,206,13,20,55.0,30.0,754,1856,27,22,2,12,15,836,8,29,8,0,3,118,27,20,57.4
Lucas Bergvall,SE,Tottenham,MF,19-092,27,11,1212,0,1,3,0,0.7,0.6,33,49,31,0.0,0.07,0.05,0.04,N/a,N/a,N/a,N/a,16.7,0.89,0.0,19.9,629,87.4,10567,91.9,89.8,74.6,11,53,7,3,49,22,1.63,4,0.3,39,19,17,15,18,8,10,24,885,36,188,478,232,22,45,46.7,44.4,531,1634,33,21,4,20,19,586,31,20,17,0,21,73,9,8,52.9
Beto,GW,Everton,FW,27-094,27,12,1268,7,0,2,0,6.6,0.8,12,10,66,0.5,0.0,0.47,0.06,N/a,N/a,N/a,N/a,50.0,2.84,0.18,13.2,124,57.1,1676,67.9,50.0,87.5,8,5,4,1,10,17,1.21,0,0.0,14,6,5,3,8,1,7,3,429,22,43,188,204,72,32,53.1,43.8,221,390,12,9,9,59,33,309,66,30,18,14,3,30,78,92,45.9
Jaden Philogene Bidace,ENG,Ipswich Town,FWDF,23-086,10,5,474,2,0,1,0,2.0,0.2,13,10,36,0.38,0.0,0.37,0.05,N/a,N/a,N/a,N/a,41.7,2.28,0.17,16.4,95,72.5,1536,84.4,73.2,50.0,5,7,4,3,10,9,1.71,0,0.0,14,7,8,7,11,1,10,10,220,10,53,68,101,18,18,27.8,61.1,127,305,13,3,5,11,10,133,36,8,10,1,13,23,5,3,62.5
Philip Billing,DK,Bournemouth,MF,28-328,10,1,184,0,0,1,0,0.6,1.1,3,15,13,0.0,0.0,0.28,0.54,N/a,N/a,N/a,N/a,20.0,2.45,0.0,17.9,70,68.6,1023,84.3,70.4,26.7,9,9,7,2,15,16,7.83,0,0.0,14,5,3,1,3,0,3,5,148,5,20,72,57,12,3,33.3,0.0,58,163,3,1,1,7,4,75,13,3,2,0,10,14,6,4,60.0
Yves Bissouma,ML,Tottenham,MF,28-248,25,16,1300,2,0,7,0,0.6,0.3,15,72,3,0.14,0.0,0.04,0.02,N/a,N/a,N/a,N/a,36.4,0.76,0.18,23.4,717,89.2,10833,92.7,92.9,63.2,6,59,10,1,72,15,1.04,0,0.0,47,29,18,15,9,6,3,16,981,63,282,554,151,5,21,33.3,66.7,577,1526,15,17,0,25,15,669,3,23,18,0,2,78,5,7,41.7
Lamare Bogarde,NL,Aston Villa,DFMF,21-120,8,5,476,0,0,2,0,0.0,0.1,12,14,9,0.0,0.0,0.01,0.02,N/a,N/a,N/a,N/a,100.0,0.19,0.0,20.2,240,88.2,3682,92.8,92.2,33.3,2,24,1,0,14,10,1.89,1,0.19,14,6,10,6,5,3,2,1,325,16,95,191,40,4,4,50.0,25.0,173,599,12,6,1,6,8,212,9,8,11,0,0,13,6,6,50.0
Willy Boly,CI,Nott'ham Forest,DF,34-091,6,1,150,0,0,1,0,0.1,0.0,0,2,0,0.0,0.0,0.04,0.0,N/a,N/a,N/a,N/a,100.0,0.6,0.0,10.2,55,78.6,1010,90.9,93.8,26.7,0,3,0,0,2,0,0.0,0,0.0,6,1,4,0,4,2,2,3,97,22,63,32,2,1,0,N/a,N/a,35,45,0,0,0,1,0,46,0,1,0,0,0,5,6,2,75.0
Sven Botman,NL,Newcastle Utd,DF,25-113,5,3,233,0,0,1,0,0.0,0.0,0,3,0,0.0,0.0,0.01,0.0,N/a,N/a,N/a,N/a,0.0,0.39,0.0,11.7,119,88.1,2026,85.1,98.1,70.0,0,9,0,0,3,0,0.0,0,0.0,6,4,2,1,2,1,1,4,168,24,70,93,6,5,3,33.3,33.3,85,178,0,1,0,1,1,107,0,4,2,0,0,8,11,6,64.7
Jarrod Bowen,ENG,West Ham,FWMF,28-136,31,31,2721,10,7,1,0,8.0,6.3,98,86,188,0.33,0.23,0.26,0.21,N/a,N/a,N/a,N/a,41.0,2.58,0.12,17.4,517,71.4,8610,83.0,76.4,55.6,49,37,43,7,86,104,3.44,13,0.43,37,24,17,20,21,3,18,16,1123,25,125,415,607,154,116,34.5,56.9,667,2311,98,43,56,68,70,736,188,19,49,10,101,120,12,46,20.7
Conor Bradley,NIR,Liverpool,DF,21-300,16,4,567,0,1,3,0,0.6,0.5,28,26,31,0.0,0.16,0.09,0.07,N/a,N/a,N/a,N/a,33.3,1.43,0.0,14.3,377,84.0,5606,91.7,88.0,35.5,5,20,3,1,26,16,2.54,2,0.32,11,8,8,9,4,0,4,3,533,18,147,247,149,36,19,47.4,47.4,297,1091,28,19,8,8,2,335,31,9,10,0,6,36,7,7,50.0
Jarrad Branthwaite,ENG,Everton,DF,22-312,28,26,2348,0,1,4,0,1.1,0.7,9,61,2,0.0,0.04,0.04,0.03,N/a,N/a,N/a,N/a,37.5,0.31,0.0,8.2,909,82.2,17777,90.3,90.5,55.3,3,80,2,0,61,13,0.5,2,0.08,36,20,20,7,30,22,8,23,1413,198,735,622,63,23,5,60.0,20.0,694,2253,9,13,2,8,3,826,2,10,17,1,5,84,53,38,58.2
James Bree,ENG,Southampton,DF,27-206,15,11,895,0,1,0,0,0.1,0.9,10,31,34,0.0,0.1,0.01,0.09,N/a,N/a,N/a,N/a,25.0,0.4,0.0,22.7,440,83.8,7028,90.9,88.4,51.1,10,26,6,5,31,15,1.51,1,0.1,15,10,7,10,8,3,5,8,602,42,194,263,150,10,8,50.0,25.0,319,713,10,11,0,6,4,389,34,2,4,0,24,56,12,5,70.6
Ben Brereton,CL,Southampton,FW,26-017,10,4,449,0,0,1,0,0.9,0.1,12,9,42,0.0,0.0,0.18,0.02,N/a,N/a,N/a,N/a,9.1,2.2,0.0,17.3,128,77.1,1836,87.4,67.9,63.6,3,9,2,1,9,9,1.8,0,0.0,3,2,1,8,2,1,1,0,206,4,19,76,112,20,4,25.0,50.0,136,394,12,13,4,9,4,171,42,4,8,1,5,16,9,7,56.3
Nathan Broadhead,WLS,Ipswich Town,MFFW,27-030,16,6,605,1,0,1,0,1.5,0.6,17,12,27,0.15,0.0,0.22,0.1,N/a,N/a,N/a,N/a,60.0,1.49,0.1,15.4,149,76.0,2132,87.5,79.7,25.0,6,10,4,0,12,19,2.83,2,0.3,7,3,3,6,6,1,5,4,276,7,38,139,109,19,32,50.0,43.8,152,502,17,14,4,18,11,191,27,4,13,2,9,30,1,9,10.0
Armando Broja,AL,Everton,FW,23-237,10,4,334,0,0,1,0,0.1,0.2,12,2,26,0.0,0.0,0.03,0.05,N/a,N/a,N/a,N/a,0.0,1.08,0.0,17.3,53,72.6,594,77.8,83.3,66.7,4,3,0,0,2,7,1.89,0,0.0,3,1,0,0,3,0,3,1,127,4,14,47,72,18,16,50.0,43.8,64,281,12,8,3,16,13,94,26,6,4,3,1,9,18,21,46.2
David Brooks,WLS,Bournemouth,FWMF,27-301,26,8,832,2,0,3,0,2.2,1.7,25,27,75,0.22,0.0,0.24,0.18,N/a,N/a,N/a,N/a,45.5,2.38,0.09,16.8,245,74.2,3790,84.8,76.2,51.4,16,15,15,5,27,35,3.79,2,0.22,11,4,1,13,16,2,14,5,451,13,54,164,241,32,31,25.8,64.5,278,812,25,22,8,27,11,306,75,8,15,0,44,44,7,10,41.2
Kevin De Bruyne,BE,Manchester City,MFFW,33-311,25,17,1538,4,7,2,0,3.8,7.6,47,135,137,0.23,0.41,0.22,0.44,N/a,N/a,N/a,N/a,28.6,2.87,0.08,21.7,799,76.0,13542,85.5,76.8,57.8,51,80,51,11,135,104,6.08,11,0.64,17,9,5,18,8,0,8,7,1210,10,73,408,739,71,32,37.5,50.0,711,1860,47,45,18,24,26,907,137,16,16,5,122,56,4,15,21.1
Emi Buendía,AR,Aston Villa,MFFW,28-131,12,0,98,0,0,1,0,0.7,0.0,3,7,6,0.0,0.0,0.6,0.02,N/a,N/a,N/a,N/a,0.0,4.59,0.0,19.1,49,81.7,624,91.7,85.7,20.0,1,4,1,0,7,3,2.76,0,0.0,6,6,0,5,5,1,4,0,82,0,17,35,31,3,2,0.0,100.0,53,119,3,5,0,4,3,64,6,4,6,0,0,8,0,2,0.0
Santiago Bueno,UY,Wolves,DF,26-177,28,18,1683,0,0,2,0,0.4,0.0,1,28,1,0.0,0.0,0.02,0.0,N/a,N/a,N/a,N/a,50.0,0.32,0.0,14.0,741,88.0,13598,92.5,93.9,56.0,0,24,2,0,28,12,0.64,4,0.21,40,21,17,5,35,20,15,15,1023,169,520,485,21,6,4,0.0,100.0,555,1430,1,2,0,2,2,660,1,26,5,0,0,43,35,31,53.0
Facundo Buonanotte,AR,Leicester City,FWMF,20-133,29,14,1474,4,2,7,0,3.8,3.1,38,52,69,0.24,0.12,0.23,0.19,N/a,N/a,N/a,N/a,29.4,2.08,0.12,17.8,430,76.6,6782,85.7,81.9,48.6,24,40,13,2,52,50,3.05,4,0.24,53,32,21,46,32,6,26,11,850,26,127,436,300,36,79,32.9,62.0,465,1321,38,26,8,53,39,515,69,35,33,3,41,77,17,35,32.7
Cameron Burgess,AU,Ipswich Town,DF,29-196,17,15,1451,0,2,0,0,0.7,0.5,2,41,4,0.0,0.12,0.04,0.03,N/a,N/a,N/a,N/a,11.1,0.56,0.0,9.7,590,80.9,10830,90.9,87.0,50.8,7,45,4,0,41,13,0.81,3,0.19,15,10,7,2,18,13,5,14,919,221,562,312,47,23,0,N/a,N/a,416,990,2,4,0,3,0,539,4,5,4,1,0,40,43,22,66.2
Dan Burn,ENG,Newcastle Utd,DF,32-361,34,34,3060,1,0,10,0,1.7,0.9,9,59,10,0.03,0.0,0.05,0.03,N/a,N/a,N/a,N/a,25.0,0.59,0.05,9.9,1630,88.9,29674,90.3,94.7,61.3,8,39,7,0,59,21,0.62,3,0.09,34,19,17,15,32,23,9,25,2184,344,1220,861,109,49,4,75.0,25.0,1246,2498,9,5,1,23,3,1470,10,30,11,5,3,95,134,65,67.3
Wes Burns,WLS,Ipswich Town,FWDF,30-163,18,12,926,0,1,1,0,0.5,1.6,38,8,65,0.0,0.1,0.05,0.16,N/a,N/a,N/a,N/a,14.3,0.68,0.0,18.3,153,60.5,2416,80.4,65.4,38.9,10,8,8,7,8,16,1.55,1,0.1,13,11,4,6,7,2,5,10,350,21,69,129,160,18,24,37.5,58.3,216,696,38,13,10,17,13,220,65,4,11,0,46,50,8,21,27.6
Moisés Caicedo,EC,Chelsea,MFDF,23-184,35,35,3081,1,2,10,0,0.8,3.0,38,197,33,0.03,0.06,0.02,0.09,N/a,N/a,N/a,N/a,16.7,0.53,0.06,25.1,1827,89.7,31575,92.2,92.4,78.1,29,219,31,2,197,94,2.75,9,0.26,103,64,50,30,45,10,35,49,2394,89,521,1469,430,15,57,42.1,35.1,1323,3008,38,29,2,36,24,1666,33,62,55,0,9,203,33,15,68.8
Tom Cairney,SCT,Fulham,MF,34-105,22,2,494,1,0,3,1,0.2,1.0,14,47,29,0.18,0.0,0.04,0.17,N/a,N/a,N/a,N/a,40.0,0.91,0.2,23.3,482,90.4,7576,93.4,93.3,74.4,10,46,7,3,47,28,5.08,3,0.54,11,5,4,3,5,1,4,4,576,6,83,305,196,12,12,33.3,33.3,385,884,14,15,4,5,4,468,29,8,17,0,17,44,4,8,33.3
Jens Cajuste,SE,Ipswich Town,MF,25-268,27,23,1783,1,0,2,0,0.5,0.6,23,46,16,0.05,0.0,0.02,0.03,N/a,N/a,N/a,N/a,10.0,0.5,0.1,21.3,576,82.4,9518,88.9,85.8,50.0,11,45,5,1,46,30,1.51,1,0.05,39,19,19,28,24,9,15,25,911,59,263,477,185,11,46,54.3,32.6,421,1182,23,21,3,21,14,522,16,21,21,0,9,99,12,21,36.4
Riccardo Calafiori,IT,Arsenal,DF,22-351,17,11,925,2,1,4,0,0.9,0.3,21,54,29,0.19,0.1,0.08,0.03,N/a,N/a,N/a,N/a,60.0,0.97,0.2,14.1,449,85.4,6549,91.6,85.7,67.9,6,40,9,1,54,13,1.26,2,0.19,26,18,18,11,12,6,6,9,628,30,161,249,222,29,13,69.2,23.1,291,839,21,12,3,11,5,377,29,16,6,3,11,30,22,13,62.9
Dominic Calvert-Lewin,ENG,Everton,FW,28-050,23,19,1588,3,1,2,0,6.2,0.6,22,19,107,0.17,0.06,0.35,0.04,N/a,N/a,N/a,N/a,36.2,2.66,0.06,12.3,177,62.8,2075,69.9,59.0,37.5,7,19,5,1,19,25,1.42,4,0.23,9,7,2,4,6,2,4,6,499,22,39,208,257,83,25,40.0,52.0,272,444,22,8,16,73,33,407,107,27,23,27,6,32,84,80,51.2
Diego Carlos,BR,Aston Villa,DF,32-051,10,8,830,0,0,1,0,0.6,0.0,3,34,0,0.0,0.0,0.07,0.0,N/a,N/a,N/a,N/a,25.0,0.43,0.0,6.7,534,88.6,10941,91.4,94.2,65.1,0,23,1,0,34,4,0.43,0,0.0,8,3,4,2,13,7,6,5,674,86,331,330,15,6,2,100.0,0.0,419,1162,3,3,0,1,2,481,0,11,1,1,0,36,11,10,52.4
Fabio Carvalho,PT,Brentford,FWMF,22-248,19,3,455,2,1,1,0,2.5,0.7,9,17,23,0.4,0.2,0.49,0.13,N/a,N/a,N/a,N/a,41.7,2.37,0.17,14.7,126,70.8,1755,83.0,71.1,38.9,4,11,5,1,17,10,1.97,1,0.2,13,9,6,7,6,1,5,3,247,4,44,91,113,22,14,14.3,71.4,137,356,9,3,0,13,8,145,23,5,10,1,10,30,2,6,25.0
Casemiro,BR,Manchester Utd,MF,33-071,22,16,1335,1,0,3,0,1.7,2.3,4,70,26,0.07,0.0,0.11,0.15,N/a,N/a,N/a,N/a,28.6,1.89,0.04,18.8,670,78.5,11089,86.4,83.7,59.8,20,68,20,6,70,49,3.31,3,0.2,77,46,41,25,33,10,23,12,1091,69,327,555,217,38,6,50.0,50.0,575,823,4,10,0,10,10,697,26,17,18,3,19,89,31,17,64.6
Matty Cash,PL,Aston Villa,DF,27-271,24,21,1800,1,1,6,0,0.3,1.1,46,39,75,0.05,0.05,0.02,0.05,N/a,N/a,N/a,N/a,40.0,0.5,0.1,19.0,642,79.2,10745,90.2,80.0,52.3,10,37,9,5,39,22,1.1,2,0.1,47,27,24,10,18,7,11,21,1012,73,365,401,257,37,36,41.7,44.4,507,1618,46,34,4,17,9,575,75,25,16,1,33,64,17,19,47.2
Timothy Castagne,BE,Fulham,DF,29-151,24,17,1649,0,1,1,0,0.4,1.2,17,62,67,0.0,0.05,0.02,0.07,N/a,N/a,N/a,N/a,37.5,0.44,0.0,14.0,780,81.8,12441,89.8,85.9,49.3,9,51,5,3,62,25,1.36,3,0.16,46,29,26,19,15,6,9,22,1164,92,449,462,259,32,12,41.7,41.7,547,1044,17,15,2,15,5,665,67,15,6,1,37,57,34,35,49.3
Trevoh Chalobah,ENG,Chelsea,DF,25-304,12,10,836,0,1,2,0,0.7,1.2,4,37,2,0.0,0.11,0.08,0.13,N/a,N/a,N/a,N/a,33.3,0.65,0.0,10.8,568,89.7,9779,94.8,95.2,53.0,3,40,3,0,37,12,1.29,3,0.32,10,6,6,1,5,2,3,9,725,68,310,366,54,11,4,25.0,25.0,395,728,4,4,1,3,2,539,2,8,7,0,3,26,23,11,67.6
Conor Chaplin,ENG,Ipswich Town,MFFW,28-078,19,8,712,1,1,2,0,1.2,0.7,11,26,20,0.13,0.13,0.15,0.09,N/a,N/a,N/a,N/a,25.0,1.52,0.08,18.3,186,72.7,2998,80.9,79.2,40.0,8,20,7,2,26,21,2.66,1,0.13,12,5,6,7,8,1,7,3,314,7,57,158,104,12,7,57.1,42.9,148,403,11,7,0,11,3,215,20,11,6,0,9,25,2,9,18.2
Ben Chilwell,ENG,Crystal Palace,DF,28-135,6,0,139,0,0,1,0,0.1,0.2,2,3,10,0.0,0.0,0.05,0.13,N/a,N/a,N/a,N/a,50.0,1.29,0.0,27.6,45,65.2,618,83.9,64.0,11.1,2,4,2,0,3,3,1.93,0,0.0,4,4,0,3,3,1,2,4,98,6,35,43,25,1,5,40.0,40.0,39,146,2,1,0,2,2,42,10,2,2,2,3,12,3,3,50.0
Hamza Choudhury,BD,Leicester City,MFDF,27-216,4,1,131,0,0,0,0,0.0,0.4,4,3,6,0.0,0.0,0.0,0.27,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,72,85.7,991,94.0,79.3,50.0,2,10,1,1,3,3,2.05,0,0.0,1,1,1,2,4,2,2,5,100,4,19,61,20,3,4,75.0,25.0,63,130,4,2,2,1,0,71,6,1,0,0,5,2,0,0,N/a
Ryan Christie,SCT,Bournemouth,MF,30-072,29,27,2117,2,3,9,0,1.8,3.5,34,137,44,0.09,0.13,0.08,0.15,N/a,N/a,N/a,N/a,36.4,1.4,0.06,19.6,837,79.3,14882,88.2,87.9,48.8,41,118,33,5,137,85,3.62,9,0.38,54,33,27,37,44,11,33,30,1376,74,256,773,372,46,48,47.9,45.8,726,1773,34,40,8,44,25,777,44,43,31,1,48,182,20,28,41.7
Harry Clarke,ENG,Ipswich Town,DF,24-064,7,4,379,0,0,3,1,0.1,0.0,5,14,2,0.0,0.0,0.02,0.01,N/a,N/a,N/a,N/a,100.0,0.24,0.0,4.5,190,80.5,3442,91.6,87.5,57.5,1,21,1,0,14,1,0.24,0,0.0,5,3,3,3,5,4,1,4,268,18,100,122,47,2,2,50.0,50.0,118,222,5,7,0,4,2,163,2,5,1,0,5,17,10,4,71.4
Jack Clarke,ENG,Ipswich Town,FWMF,24-163,29,11,1056,0,4,2,0,1.0,2.0,32,35,47,0.0,0.34,0.08,0.17,N/a,N/a,N/a,N/a,14.3,1.19,0.0,19.4,266,76.4,4343,86.8,86.0,48.3,23,25,6,0,35,40,3.41,5,0.43,28,17,16,16,6,0,6,7,486,22,115,198,187,32,42,52.4,33.3,272,1015,32,18,9,20,18,293,47,15,21,3,13,67,7,14,33.3
Nathaniel Clyne,ENG,Crystal Palace,DFMF,34-030,13,5,483,0,0,1,0,0.0,0.3,6,7,8,0.0,0.0,0.0,0.06,N/a,N/a,N/a,N/a,0.0,0.37,0.0,31.4,171,76.0,3113,80.9,88.4,46.7,3,16,2,1,7,3,0.56,0,0.0,12,8,6,5,4,2,2,3,273,18,111,125,37,3,1,0.0,100.0,158,314,6,2,3,5,2,178,8,2,2,0,7,10,1,7,12.5
Conor Coady,ENG,Leicester City,DF,32-069,19,16,1444,0,0,2,0,0.1,0.1,3,30,0,0.0,0.0,0.01,0.0,N/a,N/a,N/a,N/a,100.0,0.06,0.0,9.2,829,90.9,14352,97.0,96.6,52.7,1,32,2,0,30,5,0.31,0,0.0,12,8,3,3,27,20,7,13,1036,199,569,450,18,6,2,50.0,50.0,676,1556,3,3,1,4,2,762,0,7,2,1,0,50,13,19,40.6
Séamus Coleman,IE,Everton,DF,36-206,3,2,197,0,0,1,0,0.6,0.0,1,8,2,0.0,0.0,0.26,0.0,N/a,N/a,N/a,N/a,100.0,0.46,0.0,10.5,57,72.2,1046,93.1,77.4,37.5,0,6,0,0,8,2,0.91,1,0.46,2,1,2,1,5,3,2,1,100,11,39,43,19,2,5,80.0,20.0,43,109,1,1,0,1,1,51,2,0,1,0,3,7,1,1,50.0
Nathan Collins,IE,Brentford,DF,24-005,35,35,3150,2,3,5,0,2.5,1.8,28,117,18,0.06,0.09,0.07,0.05,N/a,N/a,N/a,N/a,35.3,0.49,0.12,10.7,1572,85.7,30030,87.8,92.5,59.3,10,102,7,2,117,30,0.86,8,0.23,37,22,22,12,71,51,20,32,2257,360,1179,924,164,66,12,50.0,41.7,1176,3769,28,12,0,19,8,1365,18,24,28,6,7,149,112,60,65.1
Toby Collyer,ENG,Manchester Utd,MF,21-122,6,0,179,0,0,0,0,0.2,0.3,0,5,2,0.0,0.0,0.09,0.13,N/a,N/a,N/a,N/a,0.0,0.5,0.0,6.2,76,82.6,1127,86.0,86.5,75.0,2,3,1,0,5,5,2.5,0,0.0,12,9,5,1,2,1,1,2,129,9,46,59,25,3,2,50.0,50.0,68,56,0,0,0,11,1,71,2,2,4,0,0,17,3,1,75.0
Levi Colwill,ENG,Chelsea,DF,22-068,32,32,2879,1,1,8,0,1.3,1.1,13,125,11,0.03,0.03,0.04,0.04,N/a,N/a,N/a,N/a,18.8,0.5,0.06,9.9,2211,89.6,40277,92.8,95.3,57.0,14,144,7,3,125,38,1.19,3,0.09,42,30,16,9,35,24,11,32,2728,344,1280,1330,129,35,10,60.0,40.0,1543,3886,13,11,1,13,8,1996,11,42,19,4,13,110,76,51,59.8
Lewis Cook,ENG,Bournemouth,MFDF,28-091,34,30,2816,1,3,8,0,0.9,4.1,33,153,49,0.03,0.1,0.03,0.13,N/a,N/a,N/a,N/a,28.6,0.45,0.07,23.4,1158,76.8,20150,84.8,85.1,45.5,48,150,26,11,153,87,2.78,5,0.16,80,42,36,30,30,11,19,40,1814,85,427,954,453,19,18,61.1,38.9,791,2113,33,29,4,29,17,904,49,46,10,3,127,182,40,34,54.1
Bobby De Cordova-Reid,JM,Leicester City,FW,32-092,23,9,744,1,2,2,0,0.8,1.2,14,15,48,0.12,0.24,0.1,0.15,N/a,N/a,N/a,N/a,42.9,0.85,0.14,25.1,145,70.4,1883,81.5,73.6,33.3,6,9,5,0,15,13,1.57,3,0.36,9,4,4,10,6,1,5,0,272,15,49,114,109,16,10,0.0,80.0,174,389,14,5,6,11,10,188,48,9,9,4,15,29,6,14,30.0
Vladimír Coufal,CZ,West Ham,DF,32-256,19,9,876,0,0,4,0,0.2,0.6,15,33,25,0.0,0.0,0.02,0.06,N/a,N/a,N/a,N/a,25.0,0.41,0.0,16.7,370,77.6,6056,89.1,80.1,41.9,6,35,12,7,33,13,1.34,1,0.1,17,11,7,11,13,11,2,8,589,56,226,248,118,10,7,28.6,28.6,232,633,15,5,2,10,6,318,25,20,14,0,21,29,18,12,60.0
Woyo Coulibaly,FR,Leicester City,DF,25-350,4,1,109,0,0,1,0,0.0,0.0,4,3,2,0.0,0.0,0.04,0.0,N/a,N/a,N/a,N/a,50.0,1.65,0.0,19.4,48,84.2,797,82.4,84.2,100.0,0,3,0,0,3,0,0.0,0,0.0,6,4,2,0,3,1,2,5,76,8,27,31,20,4,1,0.0,100.0,48,169,4,2,1,4,0,36,2,2,1,0,0,14,0,3,0.0
Aaron Cresswell,ENG,West Ham,DF,35-141,15,8,676,0,0,2,0,0.1,1.1,4,28,2,0.0,0.0,0.01,0.15,N/a,N/a,N/a,N/a,0.0,0.4,0.0,29.8,415,81.5,7803,91.7,87.4,53.1,7,43,4,1,28,12,1.6,0,0.0,9,5,7,2,9,4,5,8,576,39,227,281,73,1,2,50.0,50.0,228,398,4,7,0,3,0,353,2,3,2,0,28,29,7,6,53.8
Marc Cucurella,ES,Chelsea,DF,26-287,33,30,2718,4,1,10,1,2.6,2.1,31,107,108,0.13,0.03,0.09,0.07,N/a,N/a,N/a,N/a,40.9,0.73,0.18,16.5,1569,88.0,24756,93.9,90.1,57.0,19,112,12,3,107,48,1.59,5,0.17,59,39,26,27,45,14,31,25,2075,109,637,958,490,73,13,30.8,53.8,882,2180,31,18,2,26,6,1287,108,34,33,3,29,119,30,51,37.0
Jorge Cuenca,ES,Fulham,DF,25-169,6,3,259,0,0,0,0,0.0,0.0,0,9,0,0.0,0.0,0.01,0.0,N/a,N/a,N/a,N/a,0.0,0.35,0.0,13.1,102,83.6,1768,89.5,88.2,42.9,0,7,0,0,9,1,0.35,0,0.0,2,2,2,3,3,3,0,2,152,23,88,59,6,1,2,100.0,0.0,65,116,0,1,0,1,0,92,0,2,2,0,1,9,6,3,66.7
Matheus Cunha,BR,Wolves,MFFW,25-343,30,27,2425,15,6,3,0,7.9,7.3,104,131,147,0.56,0.22,0.29,0.27,N/a,N/a,N/a,N/a,41.2,3.6,0.15,20.6,743,71.9,11781,85.1,75.9,45.1,51,89,54,10,131,118,4.38,16,0.59,35,21,11,25,19,1,18,17,1425,22,173,657,643,117,130,44.6,43.8,819,3108,104,88,36,72,48,957,147,41,69,8,123,123,10,27,27.0
Patson Daka,ZM,Leicester City,FWMF,26-208,21,5,653,1,0,0,0,1.3,0.1,10,8,34,0.14,0.0,0.17,0.01,N/a,N/a,N/a,N/a,26.7,2.07,0.07,14.8,101,71.6,1400,80.3,72.1,100.0,1,6,1,0,8,10,1.38,1,0.14,17,9,7,10,7,1,6,1,239,9,41,109,94,28,15,13.3,66.7,134,309,10,7,5,19,10,158,34,12,17,3,3,18,10,27,27.0
Diogo Dalot,PT,Manchester Utd,DF,26-048,32,31,2788,0,3,5,0,2.0,2.0,62,102,164,0.0,0.1,0.06,0.07,N/a,N/a,N/a,N/a,21.7,0.74,0.0,15.6,1336,80.5,21497,89.9,81.9,55.4,26,61,25,8,102,74,2.39,5,0.16,67,39,34,18,22,9,13,37,1965,113,658,767,557,66,53,50.9,41.5,1111,2684,62,37,16,37,21,1186,164,40,9,4,65,164,38,21,64.4
Mikkel Damsgaard,DK,Brentford,MFFW,24-306,35,31,2658,2,10,2,0,2.6,7.8,64,213,121,0.07,0.34,0.09,0.26,N/a,N/a,N/a,N/a,21.9,1.08,0.06,17.5,1011,72.7,17333,85.3,73.3,53.2,59,153,67,17,213,114,3.86,21,0.71,78,43,28,44,36,2,34,26,1713,34,310,785,640,72,93,52.7,35.5,972,2753,64,42,9,54,44,1131,121,18,27,6,130,159,12,25,32.4
Danilo,BR,Nott'ham Forest,MFFW,24-006,7,5,267,0,0,0,0,0.0,0.0,2,11,1,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,89,78.1,1435,84.3,83.7,60.0,0,13,0,0,11,7,2.37,2,0.68,6,3,2,2,2,1,1,3,140,8,50,78,13,0,6,50.0,50.0,49,61,2,0,0,6,0,83,1,1,0,0,3,18,1,1,50.0
